dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.07180491947476744,0.03833912050070896,0.07253534077361391,1.0
1.0,10,2,0.15,121,0.0718049193785916,0.03833912050070896,0.07253534067645974,1.0
1.0,10,3,0.15,121,0.07180491932250425,0.03833912050070896,0.07253534061980185,1.0
1.0,20,1,0.075,441,0.0718049206024518,0.03833912050070896,0.07253534191276942,1.0
1.0,20,2,0.075,441,0.07180492077731325,0.03833912050070896,0.07253534208940961,1.0
1.0,20,3,0.075,441,0.07180492081156395,0.03833912050070896,0.07253534212400871,1.0
1.0,40,1,0.0375,1681,0.07180492117167404,0.03833912050070896,0.07253534248778196,1.0
1.0,40,2,0.0375,1681,0.08599304171592928,0.04612397915064547,0.08686778887366378,1.203052614360117
1.0,40,3,0.0375,1681,0.07986542159610577,0.0426842784849951,0.0806778367537559,1.1133348373029526
5.0,10,1,0.15,121,0.07180492188901275,0.03833912050070896,0.07253534321241764,1.0
5.0,10,2,0.15,121,0.07180492189215114,0.03833912050070896,0.07253534321558797,1.0
5.0,10,3,0.15,121,0.07180492188856206,0.03833912050070896,0.07253534321196238,1.0
5.0,20,1,0.075,441,0.07180492206757708,0.03833912050070896,0.07253534339279838,1.0
5.0,20,2,0.075,441,0.07180492213718237,0.03833912050070896,0.07253534346311172,1.0
5.0,20,3,0.075,441,0.07180492214371449,0.03833912050070896,0.07253534346971029,1.0
5.0,40,1,0.0375,1681,0.0718049221349609,0.03833912050070896,0.07253534346086765,1.0
5.0,40,2,0.0375,1681,0.07922941590015979,0.042414359714140336,0.0800353614160374,1.1062945409338751
5.0,40,3,0.0375,1681,0.07985611303926472,0.04267886522093654,0.080668433507467,1.1131936430348561
10.0,10,1,0.15,121,0.07180492222212374,0.03833912050070896,0.07253534354891715,1.0
10.0,10,2,0.15,121,0.07180492222991001,0.03833912050070896,0.07253534355678262,1.0
10.0,10,3,0.15,121,0.07180492223267579,0.03833912050070901,0.07253534355957653,1.0000000000000016
10.0,20,1,0.075,441,0.0718049222753039,0.03833912050070896,0.07253534360263826,1.0
10.0,20,2,0.075,441,0.07180492227724755,0.038339120500708396,0.07253534360460169,0.9999999999999853
10.0,20,3,0.075,441,0.07180492233110615,0.03833912050019007,0.07253534365900816,0.9999999999864657
10.0,40,1,0.0375,1681,0.07180492229323898,0.03833912050071909,0.0725353436207558,1.0000000000002642
10.0,40,2,0.0375,1681,0.07920496057600868,0.04240627937364754,0.08001065732495276,1.1060837812610589
10.0,40,3,0.0375,1681,0.07180492229148443,0.038339119639474416,0.0725353436189834,0.9999999775364032
